INFO  - 2014-03-10 16:03:01.800; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2014-03-10 16:03:01.909; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /Users/fraferra/solr-4.7.0/example/contexts at interval 0
INFO  - 2014-03-10 16:03:01.915; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /Users/fraferra/solr-4.7.0/example/contexts/solr-jetty-context.xml
INFO  - 2014-03-10 16:03:02.058; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/Users/fraferra/solr-4.7.0/example/webapps/solr.war!/ to /Users/fraferra/solr-4.7.0/example/solr-webapp/webapp
INFO  - 2014-03-10 16:03:08.820; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2014-03-10 16:03:09.042; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2014-03-10 16:03:09.090; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2014-03-10 16:03:09.090; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2014-03-10 16:03:09.091; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2014-03-10 16:03:09.207; org.apache.solr.core.ConfigSolr; Loading container configuration from /Users/fraferra/solr-4.7.0/example/solr/solr.xml
INFO  - 2014-03-10 16:03:09.585; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: /Users/fraferra/solr-4.7.0/example/solr
INFO  - 2014-03-10 16:03:09.631; org.apache.solr.core.CoreContainer; New CoreContainer 646703599
INFO  - 2014-03-10 16:03:09.632; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2014-03-10 16:03:09.681; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2014-03-10 16:03:09.681; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2014-03-10 16:03:09.687; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2014-03-10 16:03:09.689; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2014-03-10 16:03:09.689; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2014-03-10 16:03:09.690; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2014-03-10 16:03:09.690; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2014-03-10 16:03:09.690; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2014-03-10 16:03:09.691; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2014-03-10 16:03:10.169; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
